metric,channel,center,band_lo,band_hi,n,n_low,n_high,n_ratings,r,p_pearson,cohens_d,logit_beta,p_logit_cluster
nrs,ONE_THREE_RIGHT,61.5,59.0,64.0,73,29,34,39,-0.17770747115987937,0.13254861963306247,-0.417758,-0.5765442623893181,0.11923195991296415
nrs,ONE_THREE_RIGHT,62.5,60.0,65.0,73,29,34,39,-0.10940127717282795,0.3568618317273307,-0.3445672,-0.5151244725111587,0.2310036686677649
nrs,ONE_THREE_RIGHT,63.5,61.0,66.0,73,29,34,39,-0.08784778634452874,0.45987807402505837,-0.28524145,-0.4175728261441784,0.33008917802743143
nrs,ONE_THREE_RIGHT,64.5,62.0,67.0,73,29,34,39,-0.13463252740294832,0.256113055560576,-0.40445888,-0.6343090953972573,0.15325049932849572
nrs,ONE_THREE_RIGHT,65.5,63.0,68.0,73,29,34,39,-0.12757530678600215,0.2821093569575127,-0.33900827,-0.5472032475268257,0.22834932041645284
nrs,ONE_THREE_RIGHT,66.5,64.0,69.0,73,29,34,39,-0.08711103018672446,0.46366478112972676,-0.2113863,-0.35830048548194043,0.47129395014527553
nrs,ONE_THREE_RIGHT,67.5,65.0,70.0,73,29,34,39,-0.14607728979190712,0.21751212150654953,-0.288623,-0.47621963879056456,0.31017114463046114
nrs,ONE_THREE_RIGHT,68.5,66.0,71.0,73,29,34,39,-0.14360660671206196,0.22547704971286306,-0.3371564,-0.5613684319150206,0.20326959462610905
nrs,ONE_THREE_RIGHT,69.5,67.0,72.0,73,29,34,39,-0.0883425833174827,0.45734450537519766,-0.17863898,-0.28422331144650564,0.4918145404798939
nrs,ONE_THREE_RIGHT,70.5,68.0,73.0,73,29,34,39,-0.09238006771076404,0.4369600316853766,-0.1599306,-0.28040583744378555,0.5222943713356619
nrs,ONE_THREE_RIGHT,71.5,69.0,74.0,73,29,34,39,-0.22511771411842102,0.055509530221343424,-0.47660905,-0.8846182481703818,0.07838139442253166
nrs,ONE_THREE_RIGHT,72.5,70.0,75.0,73,29,34,39,-0.21922376140418215,0.06239791312938546,-0.40059993,-0.7297668536683165,0.14480955808175586
nrs,ONE_THREE_RIGHT,73.5,71.0,76.0,73,29,34,39,-0.2029493145969554,0.08506195214346084,-0.32383522,-0.5539214722591659,0.26433044272108275
nrs,ONE_THREE_RIGHT,74.5,72.0,77.0,73,29,34,39,-0.2676113691633325,0.022083507712418418,-0.4507852,-0.9552458756920787,0.15082756807596534
nrs,ONE_THREE_RIGHT,75.5,73.0,78.0,73,29,34,39,-0.23423923989431222,0.04608192703777524,-0.42927364,-0.8667993312951595,0.1267054522519804
nrs,ONE_THREE_RIGHT,76.5,74.0,79.0,73,29,34,39,-0.11679634946183133,0.3250870664448042,-0.20426613,-0.3308617780972841,0.35043061794126995
nrs,ONE_THREE_RIGHT,77.5,75.0,80.0,73,29,34,39,-0.12014091418962711,0.3113275391365416,-0.25187495,-0.4291131473165904,0.2214406777307968
