channel,t_psd,center_hz,psd_bandpower_uV2,lsb_nearest,offset_s
ZERO_THREE_RIGHT,1765762701.0,26.4,1.311776599427672,60.0,-1308.0
ZERO_THREE_RIGHT,1765762867.0,26.4,1.311776599427672,60.0,-1474.0
ZERO_THREE_RIGHT,1765763303.0,26.4,1.311776599427672,85.0,1325.0
ZERO_THREE_RIGHT,1765763469.0,26.4,1.311776599427672,85.0,1159.0
ZERO_THREE_RIGHT,1765763761.0,26.4,1.311776599427672,85.0,867.0
ZERO_THREE_RIGHT,1765763761.0,26.4,1.311776599427672,85.0,867.0
ZERO_THREE_RIGHT,1765763927.0,26.4,1.311776599427672,85.0,701.0
ZERO_THREE_RIGHT,1765763927.0,26.4,1.311776599427672,85.0,701.0
ZERO_THREE_RIGHT,1765764004.0,26.4,1.311776599427672,85.0,624.0
ZERO_THREE_RIGHT,1765764170.0,26.4,1.311776599427672,85.0,458.0
ZERO_THREE_RIGHT,1765764462.0,26.4,1.311776599427672,85.0,166.0
ZERO_THREE_RIGHT,1765764628.0,26.4,1.311776599427672,85.0,0.0
ZERO_THREE_RIGHT,1766004290.0,26.4,0.4361879268917558,89.0,-1079.0
ZERO_THREE_RIGHT,1766004493.0,26.4,0.432496680625337,89.0,-1282.0
ZERO_THREE_RIGHT,1766005156.35,26.4,0.3572317807613711,89.0,-1945.3499999046326
ZERO_THREE_RIGHT,1767641681.0,8.8,1.5620857628751048,73.0,1835.8499999046326
ZERO_THREE_RIGHT,1767641977.35,8.8,2.212166706600714,73.0,1539.5
ZERO_THREE_RIGHT,1767643298.0,8.8,4.669810372388545,73.0,218.84999990463257
ZERO_THREE_RIGHT,1767643515.6,8.8,1.9532017953827256,73.0,1.25
ZERO_THREE_RIGHT,1767643558.35,8.8,2.4696347392199223,130.0,0.5
ZERO_THREE_RIGHT,1767645021.0,8.8,1.997639025431163,10660.0,238.5
ZERO_THREE_RIGHT,1767645258.0,8.8,7.623871230579598,10660.0,1.5
ZERO_THREE_RIGHT,1767645339.0,8.8,1.887634381552694,93.0,0.0
ZERO_THREE_RIGHT,1770151825.0,8.8,1.2768678364300081,136.0,473.5499999523163
ZERO_THREE_RIGHT,1770152069.0,8.8,1.0053769546469966,136.0,229.54999995231628
ZERO_THREE_RIGHT,1770152297.55,8.8,1.4595801034803546,136.0,1.0
ZERO_THREE_RIGHT,1770152479.8,8.8,1.4361849075325743,127.0,0.75
ZERO_THREE_RIGHT,1770152946.8,8.8,1.0827040747279508,89.0,1.25
ZERO_THREE_RIGHT,1770153301.3,8.8,1.1821253495130613,199.0,1.75
ZERO_THREE_RIGHT,1770153857.05,8.8,1.1658845313366408,119.0,1.0
ZERO_THREE_RIGHT,1770153897.8,8.8,1.1404752614234237,124.0,1.0
ZERO_THREE_RIGHT,1770154924.0,8.8,1.0520270632187678,120.0,0.0
ZERO_THREE_RIGHT,1770155662.0,8.8,1.3983401646512896,68.0,1.0
ZERO_THREE_RIGHT,1770155745.0,8.8,0.9690278280711047,142.0,0.0
ZERO_THREE_RIGHT,1770155910.0,8.8,1.3910473689494545,172.0,0.0
ZERO_THREE_RIGHT,1770156237.0,8.8,1.039419840503954,399.0,0.0
ZERO_THREE_RIGHT,1770156274.0,8.8,1.453550764973545,112.0,0.0
ZERO_THREE_RIGHT,1770229532.0,24.4,1.5846440250545704,97.0,-364.0
ZERO_THREE_RIGHT,1770229714.0,24.4,1.366014591816625,97.0,-546.0
ZERO_THREE_RIGHT,1770229990.0,24.4,1.5846440250545704,97.0,-822.0
ZERO_THREE_RIGHT,1770229990.0,24.4,1.5846440250545704,97.0,-822.0
ZERO_THREE_RIGHT,1770230172.0,24.4,1.366014591816625,97.0,-1004.0
ZERO_THREE_RIGHT,1770230172.0,24.4,1.366014591816625,97.0,-1004.0
ZERO_THREE_RIGHT,1770230233.0,24.4,1.5846440250545704,97.0,-1065.0
ZERO_THREE_RIGHT,1770230415.0,24.4,1.366014591816625,97.0,-1247.0
ZERO_THREE_RIGHT,1770230691.0,24.4,1.5846440250545704,97.0,-1523.0
ZERO_THREE_RIGHT,1770230873.0,24.4,1.366014591816625,97.0,-1705.0
ZERO_THREE_RIGHT,1770249679.0,24.4,1.5846440250545704,97.0,-20511.0
ZERO_THREE_RIGHT,1770249993.0,24.4,1.5846440250545704,97.0,-20825.0
ZERO_THREE_RIGHT,1770249993.0,24.4,1.5846440250545704,97.0,-20825.0
ZERO_THREE_RIGHT,1770250164.0,24.4,1.5298468781049066,97.0,-20996.0
ZERO_THREE_RIGHT,1770250164.0,24.4,1.5298468781049066,97.0,-20996.0
ZERO_THREE_RIGHT,1770250236.0,24.4,1.5846440250545704,97.0,-21068.0
ZERO_THREE_RIGHT,1770250407.0,24.4,1.5298468781049066,97.0,-21239.0
ZERO_THREE_RIGHT,1770250694.0,24.4,1.5846440250545704,97.0,-21526.0
ZERO_THREE_RIGHT,1770250865.0,24.4,1.5298468781049066,97.0,-21697.0
ZERO_THREE_RIGHT,1770256759.0,24.4,1.311776599427672,97.0,-27591.0
ZERO_THREE_RIGHT,1770257073.0,24.4,1.311776599427672,97.0,-27905.0
ZERO_THREE_RIGHT,1770257073.0,24.4,1.311776599427672,97.0,-27905.0
ZERO_THREE_RIGHT,1770257291.0,24.4,1.6394411720042346,97.0,-28123.0
ZERO_THREE_RIGHT,1770257291.0,24.4,1.6394411720042346,97.0,-28123.0
ZERO_THREE_RIGHT,1770257316.0,24.4,1.311776599427672,97.0,-28148.0
ZERO_THREE_RIGHT,1770257534.0,24.4,1.6394411720042346,97.0,-28366.0
ZERO_THREE_RIGHT,1770257774.0,24.4,1.311776599427672,97.0,-28606.0
