survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,23.5,0.155733,0.861109
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,24.5,0.142227,0.734555
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,25.5,0.130217,0.592295
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,26.5,0.109771,0.481095
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,27.5,0.0821093,0.425106
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,7.5,18.6823,87.2375
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,8.5,12.7003,64.4903
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,9.5,8.3709,42.7389
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,10.5,5.72531,22.4855
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,11.5,2.22604,13.1501
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,12.5,1.81564,9.33982
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,13.5,1.29841,5.97747
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,14.5,0.800952,4.62215
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,15.5,0.498258,3.36103
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,16.5,0.493105,2.64
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,17.5,0.428385,2.37584
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,18.5,0.53045,2.39873
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,19.5,0.455272,2.33763
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,20.5,0.430763,2.13816
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,21.5,0.330016,1.83197
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,22.5,0.310394,1.54338
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,23.5,0.237178,1.23541
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,24.5,0.21765,1.03014
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,25.5,0.159212,0.801867
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,26.5,0.158872,0.680311
2025-07-16T19:47:09Z,ZERO_THREE_RIGHT,27.5,0.126163,0.589815
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,7.5,6.89856,30.8433
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,8.5,4.53925,22.9258
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,9.5,2.97007,14.4833
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,10.5,1.53793,8.9269
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,11.5,1.46066,6.98098
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,12.5,0.966386,5.46068
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,13.5,0.659705,4.09044
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,14.5,0.505113,3.17167
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,15.5,0.294886,2.14445
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,16.5,0.227142,1.53395
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,17.5,0.267263,1.36825
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,18.5,0.232076,1.27781
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,19.5,0.265077,1.33256
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,20.5,0.298288,1.5444
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,21.5,0.315404,1.65856
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,22.5,0.238859,1.6058
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,23.5,0.207904,1.51629
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,24.5,0.195923,1.32988
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,25.5,0.221602,1.00778
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,26.5,0.208746,0.738944
2025-07-16T19:47:09Z,ZERO_TWO_RIGHT,27.5,0.164401,0.570987
2025-07-17T00:45:30Z,ONE_THREE_LEFT,7.5,1.39926,7.22959
2025-07-17T00:45:30Z,ONE_THREE_LEFT,8.5,1.36439,6.37761
2025-07-17T00:45:30Z,ONE_THREE_LEFT,9.5,1.32675,5.46707
2025-07-17T00:45:30Z,ONE_THREE_LEFT,10.5,1.07484,4.41405
2025-07-17T00:45:30Z,ONE_THREE_LEFT,11.5,0.861119,3.57678
2025-07-17T00:45:30Z,ONE_THREE_LEFT,12.5,0.551237,2.87457
2025-07-17T00:45:30Z,ONE_THREE_LEFT,13.5,0.517722,2.48218
2025-07-17T00:45:30Z,ONE_THREE_LEFT,14.5,0.482112,2.25753
2025-07-17T00:45:30Z,ONE_THREE_LEFT,15.5,0.479246,2.28042
2025-07-17T00:45:30Z,ONE_THREE_LEFT,16.5,0.441026,2.08094
2025-07-17T00:45:30Z,ONE_THREE_LEFT,17.5,0.413575,1.95697
2025-07-17T00:45:30Z,ONE_THREE_LEFT,18.5,0.345217,1.87415
2025-07-17T00:45:30Z,ONE_THREE_LEFT,19.5,0.380088,1.76903
2025-07-17T00:45:30Z,ONE_THREE_LEFT,20.5,0.382177,1.60333
2025-07-17T00:45:30Z,ONE_THREE_LEFT,21.5,0.307709,1.51288
2025-07-17T00:45:30Z,ONE_THREE_LEFT,22.5,0.325942,1.45813
2025-07-17T00:45:30Z,ONE_THREE_LEFT,23.5,0.263067,1.51923
2025-07-17T00:45:30Z,ONE_THREE_LEFT,24.5,0.339151,1.76896
2025-07-17T00:45:30Z,ONE_THREE_LEFT,25.5,0.592209,2.34354
2025-07-17T00:45:30Z,ONE_THREE_LEFT,26.5,0.689966,2.87878
2025-07-17T00:45:30Z,ONE_THREE_LEFT,27.5,0.724659,3.31025
2025-07-17T00:45:30Z,ONE_TWO_LEFT,7.5,0.674746,3.1438
2025-07-17T00:45:30Z,ONE_TWO_LEFT,8.5,0.598758,2.77371
2025-07-17T00:45:30Z,ONE_TWO_LEFT,9.5,0.583371,2.47694
2025-07-17T00:45:30Z,ONE_TWO_LEFT,10.5,0.448559,2.16316
2025-07-17T00:45:30Z,ONE_TWO_LEFT,11.5,0.413281,1.93921
2025-07-17T00:45:30Z,ONE_TWO_LEFT,12.5,0.436018,1.73246
2025-07-17T00:45:30Z,ONE_TWO_LEFT,13.5,0.364119,1.58965
2025-07-17T00:45:30Z,ONE_TWO_LEFT,14.5,0.385738,1.5097
2025-07-17T00:45:30Z,ONE_TWO_LEFT,15.5,0.242265,1.5097
2025-07-17T00:45:30Z,ONE_TWO_LEFT,16.5,0.242501,1.38727
2025-07-17T00:45:30Z,ONE_TWO_LEFT,17.5,0.199189,1.29087
